duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_win_rate,eval_avg_rewardP2,eval_avg_ep_lenP2,eval_win_rateP2,eval_avg_rewardNM,eval_avg_ep_lenNM,eval_win_rateNM,eval_avg_rewardP2NM,eval_avg_ep_lenP2NM,eval_win_rateP2NM
0:02:03,1000,1.9889900151491164,4.2,8.32,0.71,4.6,8.97,0.73,-10.0,10.52,0.0,-8.2,8.87,0.09
0:03:42,2000,1.9519954372644424,8.0,7.38,0.9,7.4,6.23,0.87,-4.8,9.97,0.26,-9.4,6.83,0.03
0:05:30,3000,1.9482724566459655,6.2,9.69,0.81,6.6,7.58,0.83,-6.2,9.34,0.19,-9.6,6.48,0.02
0:07:08,4000,1.946849503517151,7.6,6.3,0.88,7.2,6.33,0.86,-10.0,10.68,0.0,-10.0,6.36,0.0
0:08:52,5000,1.946119112610817,7.6,7.13,0.88,6.8,6.05,0.84,-9.4,10.01,0.03,-10.0,7.29,0.0
0:10:39,6000,1.9452756841182708,7.2,8.46,0.86,5.2,8.2,0.76,-5.6,9.57,0.22,-10.0,7.95,0.0
0:12:29,7000,1.944841390490532,6.4,8.71,0.82,5.2,7.88,0.76,-10.0,9.07,0.0,-10.0,7.57,0.0
0:14:11,8000,1.9444458388090133,7.0,7.13,0.85,7.4,5.9,0.87,-4.0,11.29,0.3,-10.0,7.04,0.0
0:15:53,9000,1.9440947569608689,8.8,6.92,0.94,5.6,7.69,0.78,-10.0,8.0,0.0,-9.2,6.7,0.04
0:17:43,10000,1.9433654792308808,4.6,9.05,0.73,5.6,8.32,0.78,-6.4,10.66,0.18,-10.0,7.55,0.0
0:19:42,11000,1.9429904924631118,2.0,10.31,0.6,0.4,10.2,0.52,-5.2,13.36,0.24,-10.0,7.5,0.0
0:21:41,12000,1.942620180606842,3.4,10.67,0.67,1.4,10.46,0.57,-2.4,11.13,0.38,-9.4,8.07,0.03
0:23:26,13000,1.942077096581459,4.8,9.92,0.74,2.0,9.94,0.6,-5.6,8.54,0.22,-9.6,7.62,0.02
0:25:05,14000,1.9418120399713517,5.0,8.27,0.75,5.4,7.56,0.77,-10.0,8.5,0.0,-9.8,6.3,0.01
0:26:47,15000,1.9410947989225387,5.2,7.93,0.76,3.8,8.25,0.69,-10.0,7.54,0.0,-10.0,6.84,0.0
0:28:25,16000,1.9404601757526398,2.6,9.77,0.63,5.2,8.41,0.76,-10.0,6.0,0.0,-10.0,6.48,0.0
0:30:05,17000,1.9404523285627364,6.2,8.61,0.81,5.6,7.12,0.78,-8.8,9.47,0.06,-10.0,6.26,0.0
0:31:50,18000,1.9398574861288072,6.8,8.17,0.84,5.0,8.13,0.75,-9.8,8.35,0.01,-10.0,6.81,0.0
0:33:24,19000,1.9392145019769669,7.6,8.6,0.88,5.8,7.42,0.79,-9.8,7.5,0.01,-9.7,6.91,0.03
0:35:09,20000,1.9387413055896758,7.6,6.74,0.88,6.4,6.56,0.82,-10.0,8.0,0.0,-10.0,7.41,0.0
0:37:02,21000,1.7237200034856797,6.6,8.44,0.83,6.6,7.53,0.83,-7.8,9.73,0.11,-9.8,7.5,0.01
0:38:54,22000,1.519317970395088,7.2,7.66,0.86,6.6,7.96,0.83,-6.6,9.56,0.17,-10.0,9.68,0.0
0:40:57,23000,1.3826355265378951,7.6,7.81,0.88,8.4,7.41,0.92,-9.4,9.86,0.03,-9.0,11.46,0.05
0:43:00,24000,1.2881599516868592,8.0,8.16,0.9,8.4,7.5,0.92,-7.2,10.04,0.14,-9.8,9.86,0.01
0:45:05,25000,1.218906253695488,8.4,8.0,0.92,8.6,7.24,0.93,-8.6,11.59,0.07,-9.8,9.71,0.01
0:47:10,26000,1.1673466935753822,8.4,7.19,0.92,9.0,6.88,0.95,-9.2,11.81,0.04,-10.0,10.23,0.0
0:49:15,27000,1.1261913956999778,8.8,8.06,0.94,8.6,7.01,0.93,-7.0,9.93,0.15,-10.0,10.82,0.0
0:51:19,28000,1.0943665124177933,9.4,7.57,0.97,9.2,6.68,0.96,0.6,9.73,0.53,-9.8,10.58,0.01
0:53:20,29000,1.0679373921751976,8.6,7.94,0.93,9.2,7.11,0.96,2.6,9.5,0.63,-9.4,10.13,0.04
0:55:37,30000,1.0473591708540917,8.8,7.24,0.94,8.8,7.37,0.94,-7.0,12.16,0.15,-9.8,10.4,0.01
0:57:46,31000,1.0258859475255013,9.4,7.81,0.97,9.6,6.88,0.98,-6.8,10.42,0.16,-9.0,12.55,0.05
1:00:01,32000,1.011852491736412,9.2,8.08,0.96,9.2,6.89,0.96,-6.8,13.36,0.16,-9.6,10.65,0.02
1:02:15,33000,0.9933042619824409,9.4,7.41,0.97,9.0,6.94,0.95,-7.2,11.06,0.14,-9.8,11.0,0.01
1:04:25,34000,0.9788224465847015,9.6,7.34,0.98,9.2,7.16,0.96,-1.2,10.01,0.44,-9.3,11.11,0.04
1:06:51,35000,0.9674854702949524,9.0,7.73,0.95,9.8,6.67,0.99,-7.0,10.31,0.15,-9.0,12.81,0.07
1:09:11,36000,0.9574716563820839,9.4,8.02,0.97,9.2,7.41,0.96,-5.6,10.3,0.22,-9.1,10.64,0.05
1:11:26,37000,0.9423686981797218,9.4,7.45,0.97,8.6,6.92,0.93,-4.4,11.6,0.28,-9.0,11.01,0.05
1:13:50,38000,0.9358126994967461,9.4,8.37,0.97,9.4,6.86,0.97,-4.6,12.11,0.27,-8.2,11.1,0.1
1:16:11,39000,0.9261721588373184,9.0,7.86,0.95,9.2,7.33,0.96,-5.0,10.89,0.25,-9.1,11.08,0.05
1:18:33,40000,0.9172729174494744,8.8,7.84,0.94,8.6,6.94,0.93,-5.8,10.41,0.21,-9.6,10.98,0.02
1:20:53,41000,0.9081874680519104,9.4,7.8,0.97,10.0,7.09,1.0,-6.4,11.64,0.18,-9.6,10.89,0.03
1:23:12,42000,0.9001522213220596,9.8,7.99,0.99,8.6,7.38,0.93,-5.0,11.27,0.25,-8.2,11.97,0.09
1:25:28,43000,0.8931614456772804,9.4,7.36,0.97,9.2,7.22,0.96,-5.4,10.24,0.23,-8.6,10.86,0.07
1:27:50,44000,0.8862983131408692,9.4,7.93,0.97,8.8,6.89,0.94,-3.4,11.45,0.33,-8.4,11.91,0.08
1:30:13,45000,0.8791487307548523,9.4,8.13,0.97,9.8,6.66,0.99,-7.2,12.27,0.14,-8.5,12.22,0.08
1:32:30,46000,0.8716730670928955,9.4,7.57,0.97,9.6,7.56,0.98,-2.6,12.45,0.37,-8.2,10.31,0.09
1:34:47,47000,0.8668779284358025,9.6,8.46,0.98,9.4,7.55,0.97,-5.0,11.63,0.25,-4.7,11.25,0.29
1:37:07,48000,0.8606347157359123,9.8,7.17,0.99,9.8,7.03,0.99,0.0,12.82,0.5,-9.0,11.78,0.05
1:39:33,49000,0.8550662084817886,9.4,7.8,0.97,9.6,7.09,0.98,-0.6,11.08,0.47,-7.2,12.32,0.17
1:41:56,50000,0.8472808033227921,9.2,8.09,0.96,9.8,6.99,0.99,-3.0,11.66,0.35,-7.2,12.52,0.17
1:44:23,51000,1.333972074151039,9.2,7.78,0.96,8.6,7.42,0.93,-2.2,13.11,0.39,-2.2,16.22,0.43
1:46:48,52000,1.188112480700016,8.4,9.55,0.92,8.4,8.39,0.92,-2.6,12.78,0.37,-4.1,15.66,0.33
1:49:14,53000,1.1224650621414185,9.0,7.19,0.95,7.3,9.05,0.87,-0.8,11.68,0.46,-3.9,16.05,0.35
1:51:32,54000,1.077077256500721,8.6,7.75,0.93,7.8,8.71,0.89,-2.0,12.22,0.4,-3.4,16.42,0.39
1:53:47,55000,1.0426456696987152,8.4,8.55,0.92,6.3,8.97,0.82,0.6,12.86,0.53,-5.3,16.01,0.26
1:56:02,56000,1.0126113325953483,9.0,8.69,0.95,8.1,8.83,0.91,0.8,12.51,0.54,-0.3,15.57,0.5
